company_name,score,total_award_amount,award_count,expiring_award_count,expiring_award_amount,recent_award_count,top_agencies,target_role,why_now,sample_award_id
ACCENTURE FEDERAL SERVICES LLC,171,6218696540.84,13,6,2168498199.91,1,Department of Veterans Affairs|Department of Health and Human Services|Department of Defense,BD lead or federal growth lead,"13 tracked awards totaling $6,218,696,541; 6 expiring inside 180 days; 1 recent high-value wins in the latest window; active with Department of Veterans Affairs, Department of Health and Human Services",91003119F0003
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",153,5694080531.959999,16,5,1524329442.67,1,General Services Administration|Department of Health and Human Services|Department of Defense,BD lead or federal growth lead,"16 tracked awards totaling $5,694,080,532; 5 expiring inside 180 days; 1 recent high-value wins in the latest window; active with General Services Administration, Department of Health and Human Services",75FCMC20F0080
BOOZ ALLEN HAMILTON INC,135,10077033788.62,16,4,2559360194.85,0,General Services Administration|Department of Veterans Affairs|National Science Foundation,BD lead or federal growth lead,"16 tracked awards totaling $10,077,033,789; 4 expiring inside 180 days; active with General Services Administration, Department of Veterans Affairs",47QFCA21F0018
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,129,5614310717.359999,11,4,2239858750.08,0,Department of Defense|General Services Administration|Department of State,BD lead or federal growth lead,"11 tracked awards totaling $5,614,310,717; 4 expiring inside 180 days; active with Department of Defense, General Services Administration",47QFCA21F0001
"ORACLE HEALTH GOVERNMENT SERVICES, INC.",110,4601243271.75,8,3,2740133806.5299997,1,Department of Veterans Affairs,BD lead or federal growth lead,"8 tracked awards totaling $4,601,243,272; 3 expiring inside 180 days; 1 recent high-value wins in the latest window; active with Department of Veterans Affairs",36C10B18N0003
"SALIENT CRGT, INC.",106,1596600973.88,4,3,1140231316.2,0,General Services Administration,BD lead or federal growth lead,"4 tracked awards totaling $1,596,600,974; 3 expiring inside 180 days; active with General Services Administration",47QFCA20F0043
"LEIDOS, INC.",102,6093486661.49,12,2,481789892.8,2,Department of Defense|Department of Transportation|General Services Administration,BD lead or federal growth lead,"12 tracked awards totaling $6,093,486,661; 2 expiring inside 180 days; 2 recent high-value wins in the latest window; active with Department of Defense, Department of Transportation",28321322FDS030130
PERATON ENTERPRISE SOLUTIONS LLC,100,2313967419.83,6,2,840019745.77,0,General Services Administration|Department of Education|Department of Labor,BD lead or federal growth lead,"6 tracked awards totaling $2,313,967,420; 2 expiring inside 180 days; active with General Services Administration, Department of Education",47QFCA20F0015
DELOITTE CONSULTING LLP,100,2216313148.6400003,6,2,579427383.1,1,General Services Administration|Department of Health and Human Services|Department of the Treasury,BD lead or federal growth lead,"6 tracked awards totaling $2,216,313,149; 2 expiring inside 180 days; 1 recent high-value wins in the latest window; active with General Services Administration, Department of Health and Human Services",HHSN31600002
"CACI NSS, LLC",99,620916497.63,3,2,405571785.01,0,Department of Homeland Security|Department of Veterans Affairs|Department of Defense,BD lead or federal growth lead,"3 tracked awards totaling $620,916,498; 2 expiring inside 180 days; active with Department of Homeland Security, Department of Veterans Affairs",70RTAC21FC0000006
