company_name,score,total_award_amount,award_count,expiring_award_count,expiring_award_amount,recent_award_count,top_agencies,target_role,why_now,sample_award_id
ACCENTURE FEDERAL SERVICES LLC,129,5777600196.71,11,4,1727401855.78,0,Department of Veterans Affairs|Department of Health and Human Services|Department of Defense,BD lead or federal growth lead,"11 tracked awards totaling $5,777,600,197; 4 expiring inside 180 days; active with Department of Veterans Affairs, Department of Health and Human Services",91003119F0003
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",118,2941748463.82,8,3,1098911324.21,0,General Services Administration|Securities and Exchange Commission|Department of Homeland Security,BD lead or federal growth lead,"8 tracked awards totaling $2,941,748,464; 3 expiring inside 180 days; active with General Services Administration, Securities and Exchange Commission",47QFMA21F0003
BOOZ ALLEN HAMILTON INC,117,9607359360.19,14,3,2344220744.34,0,General Services Administration|Department of Veterans Affairs|Department of the Treasury,BD lead or federal growth lead,"14 tracked awards totaling $9,607,359,360; 3 expiring inside 180 days; active with General Services Administration, Department of Veterans Affairs",47QFCA21F0018
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,111,5379810257.239999,10,3,2005358289.96,0,General Services Administration|Department of Defense|Department of State,BD lead or federal growth lead,"10 tracked awards totaling $5,379,810,257; 3 expiring inside 180 days; active with General Services Administration, Department of Defense",47QFCA21F0001
"ORACLE HEALTH GOVERNMENT SERVICES, INC.",110,4601243271.75,8,3,2740133806.5299997,0,Department of Veterans Affairs,BD lead or federal growth lead,"8 tracked awards totaling $4,601,243,272; 3 expiring inside 180 days; active with Department of Veterans Affairs",36C10B18N0003
"SALIENT CRGT, INC.",106,1596600973.88,4,3,1140231316.2,0,General Services Administration,BD lead or federal growth lead,"4 tracked awards totaling $1,596,600,974; 3 expiring inside 180 days; active with General Services Administration",47QFCA20F0043
DELOITTE CONSULTING LLP,100,2216313148.6400003,6,2,579427383.1,0,General Services Administration|Department of Health and Human Services|Department of the Treasury,BD lead or federal growth lead,"6 tracked awards totaling $2,216,313,149; 2 expiring inside 180 days; active with General Services Administration, Department of Health and Human Services",HHSN31600002
PERATON ENTERPRISE SOLUTIONS LLC,96,2103350168.3300002,5,2,840019745.77,0,General Services Administration|Department of Education|Department of Labor,BD lead or federal growth lead,"5 tracked awards totaling $2,103,350,168; 2 expiring inside 180 days; active with General Services Administration, Department of Education",47QFCA20F0015
CGI FEDERAL INC.,96,1637734380.19,4,2,1039659560.62,0,General Services Administration|Department of Veterans Affairs|Department of Health and Human Services,BD lead or federal growth lead,"4 tracked awards totaling $1,637,734,380; 2 expiring inside 180 days; active with General Services Administration, Department of Veterans Affairs",36C10B18F0278
"CACI, INC. - FEDERAL",89,5012176507.57,8,2,1639593261.38,0,General Services Administration|Department of Homeland Security,BD lead or federal growth lead,"8 tracked awards totaling $5,012,176,508; 2 expiring inside 180 days; active with General Services Administration, Department of Homeland Security",47QFCA19F0006
