company_name,score,total_award_amount,award_count,expiring_award_count,expiring_award_amount,recent_award_count,top_agencies,target_role,why_now,sample_award_id
ACCENTURE FEDERAL SERVICES LLC,189,6597118666.29,15,7,2354636241.67,1,Department of Veterans Affairs|Department of Energy|Department of Health and Human Services,BD lead or federal growth lead,"15 tracked awards totaling $6,597,118,666; 7 expiring inside 180 days; 1 recent high-value wins in the latest window; active with Department of Veterans Affairs, Department of Energy",91003119F0003
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",160,4925214011.330001,16,5,1524329442.67,1,General Services Administration|Department of Defense|Department of Health and Human Services,BD lead or federal growth lead,"16 tracked awards totaling $4,925,214,011; 5 expiring inside 180 days; 1 recent high-value wins in the latest window; active with General Services Administration, Department of Defense",47QFMA21F0003
BOOZ ALLEN HAMILTON INC,153,10201776768.840002,17,5,2755368775.8,0,General Services Administration|Department of Veterans Affairs|Department of the Treasury,BD lead or federal growth lead,"17 tracked awards totaling $10,201,776,769; 5 expiring inside 180 days; active with General Services Administration, Department of Veterans Affairs",47QFCA21F0018
"LEIDOS, INC.",145,5634920910.440001,13,4,859430974.66,3,Department of Defense|Department of Transportation|General Services Administration,BD lead or federal growth lead,"13 tracked awards totaling $5,634,920,910; 4 expiring inside 180 days; 3 recent high-value wins in the latest window; active with Department of Defense, Department of Transportation",28321322FDS030130
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,135,6007282886.139998,13,4,2239858750.08,0,Department of Defense|General Services Administration|Department of State,BD lead or federal growth lead,"13 tracked awards totaling $6,007,282,886; 4 expiring inside 180 days; active with Department of Defense, General Services Administration",47QFCA21F0001
"SALIENT CRGT, INC.",128,1795510588.7900002,5,4,1339140931.11,0,General Services Administration|Department of Veterans Affairs,BD lead or federal growth lead,"5 tracked awards totaling $1,795,510,589; 4 expiring inside 180 days; active with General Services Administration, Department of Veterans Affairs",47QFCA20F0043
"CACI, INC. - FEDERAL",121,5203077290.88,9,3,1830494044.69,2,General Services Administration|Department of Homeland Security|National Aeronautics and Space Administration,BD lead or federal growth lead,"9 tracked awards totaling $5,203,077,291; 3 expiring inside 180 days; 2 recent high-value wins in the latest window; active with General Services Administration, Department of Homeland Security",47QFCA19F0006
PERATON ENTERPRISE SOLUTIONS LLC,118,2501210141.18,7,3,1027262467.12,0,General Services Administration|Department of Education|Department of Labor,BD lead or federal growth lead,"7 tracked awards totaling $2,501,210,141; 3 expiring inside 180 days; active with General Services Administration, Department of Education",47QFCA20F0015
"ORACLE HEALTH GOVERNMENT SERVICES, INC.",110,4601243271.75,8,3,2740133806.5299997,1,Department of Veterans Affairs,BD lead or federal growth lead,"8 tracked awards totaling $4,601,243,272; 3 expiring inside 180 days; 1 recent high-value wins in the latest window; active with Department of Veterans Affairs",36C10B18N0003
DELOITTE CONSULTING LLP,100,2406900729.5200005,7,2,579427383.1,1,General Services Administration|Department of Health and Human Services|Department of the Treasury,BD lead or federal growth lead,"7 tracked awards totaling $2,406,900,730; 2 expiring inside 180 days; 1 recent high-value wins in the latest window; active with General Services Administration, Department of Health and Human Services",HHSN31600002
