company_name,score,total_award_amount,award_count,expiring_award_count,expiring_award_amount,recent_award_count,top_agencies,target_role,why_now,sample_award_id
ACCENTURE FEDERAL SERVICES LLC,171,6218696540.84,13,6,2168498199.91,1,Department of Veterans Affairs|Department of Health and Human Services|Department of Defense,BD lead or federal growth lead,"13 tracked awards totaling $6,218,696,541; 6 expiring inside 180 days; 1 recent high-value wins in the latest window; active with Department of Veterans Affairs, Department of Health and Human Services",91003119F0003
BOOZ ALLEN HAMILTON INC,153,10273042369.570002,17,5,2755368775.8,0,General Services Administration|Department of Veterans Affairs|National Science Foundation,BD lead or federal growth lead,"17 tracked awards totaling $10,273,042,370; 5 expiring inside 180 days; active with General Services Administration, Department of Veterans Affairs",47QFCA21F0018
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",153,5456210330.48,15,5,1524329442.67,1,General Services Administration|Department of Health and Human Services|Department of Defense,BD lead or federal growth lead,"15 tracked awards totaling $5,456,210,330; 5 expiring inside 180 days; 1 recent high-value wins in the latest window; active with General Services Administration, Department of Health and Human Services",75FCMC20F0080
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,135,6007282886.139998,13,4,2239858750.08,0,Department of Defense|General Services Administration|Department of State,BD lead or federal growth lead,"13 tracked awards totaling $6,007,282,886; 4 expiring inside 180 days; active with Department of Defense, General Services Administration",47QFCA21F0001
"SALIENT CRGT, INC.",128,1795510588.7900002,5,4,1339140931.11,0,General Services Administration|Department of Veterans Affairs,BD lead or federal growth lead,"5 tracked awards totaling $1,795,510,589; 4 expiring inside 180 days; active with General Services Administration, Department of Veterans Affairs",47QFCA20F0043
"ORACLE HEALTH GOVERNMENT SERVICES, INC.",110,4601243271.75,8,3,2740133806.5299997,1,Department of Veterans Affairs,BD lead or federal growth lead,"8 tracked awards totaling $4,601,243,272; 3 expiring inside 180 days; 1 recent high-value wins in the latest window; active with Department of Veterans Affairs",36C10B18N0003
PERATON ENTERPRISE SOLUTIONS LLC,100,2313967419.83,6,2,840019745.77,0,General Services Administration|Department of Education|Department of Labor,BD lead or federal growth lead,"6 tracked awards totaling $2,313,967,420; 2 expiring inside 180 days; active with General Services Administration, Department of Education",47QFCA20F0015
DELOITTE CONSULTING LLP,100,2216313148.6400003,6,2,579427383.1,1,General Services Administration|Department of Health and Human Services|Department of the Treasury,BD lead or federal growth lead,"6 tracked awards totaling $2,216,313,149; 2 expiring inside 180 days; 1 recent high-value wins in the latest window; active with General Services Administration, Department of Health and Human Services",HHSN31600002
"CACI NSS, LLC",99,620916497.63,3,2,405571785.01,0,Department of Homeland Security|Department of Veterans Affairs|Department of Defense,BD lead or federal growth lead,"3 tracked awards totaling $620,916,498; 2 expiring inside 180 days; active with Department of Homeland Security, Department of Veterans Affairs",70RTAC21FC0000006
"LEIDOS, INC.",96,5257279828.58,11,2,481789892.8,2,Department of Defense|Department of Transportation|General Services Administration,BD lead or federal growth lead,"11 tracked awards totaling $5,257,279,829; 2 expiring inside 180 days; 2 recent high-value wins in the latest window; active with Department of Defense, Department of Transportation",28321322FDS030130
