company_name,score,total_award_amount,award_count,expiring_award_count,expiring_award_amount,recent_award_count,top_agencies,target_role,why_now,sample_award_id
ACCENTURE FEDERAL SERVICES LLC,135,6218696540.84,13,6,2168498199.91,1,Department of Veterans Affairs|Department of Health and Human Services|Department of Defense,capture manager or BD lead,"13 tracked awards totaling $6,218,696,541; 6 expiring inside 180 days; 1 recent high-value wins in the latest window; active with Department of Veterans Affairs, Department of Health and Human Services",91003119F0003
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",117,5456210330.48,15,5,1524329442.67,1,General Services Administration|Department of Health and Human Services|Department of Defense,capture manager or BD lead,"15 tracked awards totaling $5,456,210,330; 5 expiring inside 180 days; 1 recent high-value wins in the latest window; active with General Services Administration, Department of Health and Human Services",75FCMC20F0080
"LEIDOS, INC.",109,7312752873.96,16,4,928587071.48,2,Department of Defense|Department of Transportation|General Services Administration,capture manager or BD lead,"16 tracked awards totaling $7,312,752,874; 4 expiring inside 180 days; 2 recent high-value wins in the latest window; active with Department of Defense, Department of Transportation",28321322FDS030130
CGI FEDERAL INC.,107,2581832375.57,6,3,1363774449.3500001,0,Department of State|General Services Administration|Department of Veterans Affairs,capture manager or BD lead,"6 tracked awards totaling $2,581,832,376; 3 expiring inside 180 days; active with Department of State, General Services Administration",36C10B18F0278
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,101,5614310717.359999,11,4,2239858750.08,0,Department of Defense|General Services Administration|Department of State,capture manager or BD lead,"11 tracked awards totaling $5,614,310,717; 4 expiring inside 180 days; active with Department of Defense, General Services Administration",47QFCA21F0001
"IRON BOW TECHNOLOGIES, LLC",101,570296935.53,2,2,570296935.53,0,Department of Defense,capture manager or BD lead,"2 tracked awards totaling $570,296,936; 2 expiring inside 180 days; active with Department of Defense",HC108421F0168
BOOZ ALLEN HAMILTON INC,99,10077033788.62,16,4,2559360194.85,0,General Services Administration|Department of Veterans Affairs|National Science Foundation,capture manager or BD lead,"16 tracked awards totaling $10,077,033,789; 4 expiring inside 180 days; active with General Services Administration, Department of Veterans Affairs",47QFCA21F0018
"SALIENT CRGT, INC.",95,1596600973.88,4,3,1140231316.2,0,General Services Administration,capture manager or BD lead,"4 tracked awards totaling $1,596,600,974; 3 expiring inside 180 days; active with General Services Administration",47QFCA20F0043
PERATON ENTERPRISE SOLUTIONS LLC,89,2313967419.83,6,2,840019745.77,0,General Services Administration|Department of Education|Department of Labor,capture manager or BD lead,"6 tracked awards totaling $2,313,967,420; 2 expiring inside 180 days; active with General Services Administration, Department of Education",47QFCA20F0015
DELOITTE CONSULTING LLP,89,2216313148.6400003,6,2,579427383.1,1,General Services Administration|Department of Health and Human Services|Department of the Treasury,capture manager or BD lead,"6 tracked awards totaling $2,216,313,149; 2 expiring inside 180 days; 1 recent high-value wins in the latest window; active with General Services Administration, Department of Health and Human Services",HHSN31600002
WORLD WIDE TECHNOLOGY LLC,83,606480438.36,1,1,606480438.36,0,Department of Defense,capture manager or BD lead,"1 tracked awards totaling $606,480,438; 1 expiring inside 180 days; active with Department of Defense",HC108421F0175
SECURIGENCE LLC,83,596868940.04,1,1,596868940.04,0,Department of Defense,capture manager or BD lead,"1 tracked awards totaling $596,868,940; 1 expiring inside 180 days; active with Department of Defense",HR001121F0006
"V3GATE, LLC",83,576889048.72,1,1,576889048.72,0,Department of Veterans Affairs,capture manager or BD lead,"1 tracked awards totaling $576,889,049; 1 expiring inside 180 days; active with Department of Veterans Affairs",36C10B23F0172
LDRM LLC,83,541156827.51,1,1,541156827.51,0,Department of State,capture manager or BD lead,"1 tracked awards totaling $541,156,828; 1 expiring inside 180 days; active with Department of State",19AQMM19C0135
"EMPOWER AI, INC.",80,541405500.96,2,1,328668473.38,0,General Services Administration|Department of Defense,capture manager or BD lead,"2 tracked awards totaling $541,405,501; 1 expiring inside 180 days; active with General Services Administration, Department of Defense",47QFCA21F0014
